date,mosquito,temp,l_temp,h_temp,rain_per_day,cum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
2015-06-05,3304,23.6,19.4,29.9,0.5,2,3.8,15.2,63.1,17.5,11.9,22.5,27.5
2015-06-06,3455,24.7,20.1,30.9,0.5,3,3.2,16.6,61.9,19.1,8.5,16.79,26.8
2015-06-07,3721,22.8,17.8,27.7,15.5,4,2.7,16.6,70.3,19,8.5,19.52,26.6
2015-06-08,3440,24.2,19.6,30.6,,0,2.2,16.9,65.6,19.3,9.2,18.62,26.4
2015-06-09,3466,25,20,30.9,,0,2.4,17.7,65.9,20.3,9.8,21.08,28.8
2015-06-10,3161,23.4,20.2,30.8,9.5,1,2.6,17.9,72.8,20.5,7.1,15.34,26.2
2015-06-11,3713,24.8,19.6,31.3,3,2,2.7,15.5,59.4,17.7,8.9,20.21,25.7
2015-06-12,3399,24.5,20,29.9,,0,2.9,15.3,57.8,17.4,9.2,18.87,25.6
2015-06-13,4172,19.6,17,22.6,44.5,1,1.8,18,91,20.6,0,3.25,20.5
2015-06-14,5474,22.4,15.6,29.6,,0,2,15.6,69.1,17.8,12.8,23.21,25.5
2015-06-15,4680,24,19.4,29.1,,0,2.4,15.4,60.4,17.5,11.3,21.88,26.5
2015-06-16,4599,24.7,19.7,31,,0,2.3,17,64.1,19.3,11.7,20.76,27.4
2015-06-17,4662,25.7,21.1,30.6,,0,2.5,16.5,58.3,18.9,8.6,18.02,27.6
2015-06-18,4421,24.8,21,29.1,2,1,2.1,17.4,65.1,20,2.4,11.93,27.3
2015-06-19,3577,21,18,25.3,12.5,2,3.3,16.2,75.8,18.4,0.3,10.37,22.6
2015-06-20,4412,25.2,19.2,31.1,,0,2.2,15,55.3,17.1,12.6,26.17,27.5
2015-06-21,3039,25.4,21,31.1,,0,2.6,17.3,61.8,19.7,13,23.32,28.3
2015-06-22,4497,25.7,21.2,30.6,,0,2.8,17.3,61.8,19.8,11.4,22.5,29.7
2015-06-23,6747,24.4,21.9,29.2,2.5,1,1.7,18.3,70,21,2.8,8.49,25
2015-06-24,4712,23.7,21,27.9,0.5,2,3.8,16.5,66.3,18.9,11.7,23.03,28.3
2015-06-25,4104,23.7,20.4,29.3,,0,4,15.5,64.5,18,11.1,20.63,28.3
2015-06-26,5243,23.3,19.2,28.3,,0,3,15.1,62.6,17.2,11.1,22.48,28.2
2015-06-27,4730,24.1,18.2,29.9,,0,2.2,14,55.8,16.1,10.9,20.86,29.7
2015-06-28,5286,24.2,20.1,29.6,,0,2.3,14.9,57.4,16.9,9.7,18.23,27.7
2015-06-29,7108,25.3,20.2,32.5,,0,2.2,14.7,54.3,16.8,9.9,20.44,30.9
2015-06-30,7146,25.6,21.4,29.7,,0,2,14.7,52.1,16.8,5.5,14.8,29.7
2015-07-01,8700,23.4,20.7,26.3,0.5,1,4,17.4,69.8,19.9,1.3,12.41,26.1
2015-07-02,9520,26.5,22.1,31.8,,0,2.9,18.2,61.3,21,4.5,14.1,29.3
2015-07-03,11659,29.2,23.6,34.3,,0,1.9,20.3,60.9,23.8,8.7,17.95,33.2
2015-07-04,8229,30.4,25.7,36,,0,2.1,21.4,60.3,25.5,9.9,17.99,34.9
2015-07-05,7150,24.8,24,28,29,1,4,23.7,94.1,29.3,0,4.84,25.9
2015-07-06,8613,23.1,21.4,24.9,10,2,5.2,21.4,90.8,25.5,0.1,3.52,23.6
2015-07-07,8141,26.1,22.5,31.4,,0,3.5,20.4,72.4,24,10.1,20.45,27
2015-07-08,6335,27.9,22.7,33.9,,0,2.9,18.5,58.8,21.3,11.4,19.53,28.7
2015-07-09,7024,24.7,20.6,28.9,,0,5,13.8,51.3,15.8,11.2,20.99,27.8
2015-07-10,7240,23.6,18.4,28.6,,0,3.6,12.2,49.8,14.3,8.1,18.65,26.8
2015-07-11,6338,24.3,22.3,27.8,0.5,1,2.2,16.5,63.5,19.3,1.1,8.93,27.7
2015-07-12,5818,25.1,21.3,29.8,5,2,1.8,20.5,77.4,24.1,3.4,12.69,26.2
2015-07-13,6278,27.5,24.4,31.2,,0,2.4,21.7,71.4,26.1,1.7,10.48,27.2
2015-07-14,6505,27,24.6,29.6,11,1,1.6,23.4,81.6,28.7,0.3,7.53,27.2
2015-07-15,6136,27.7,25.3,31.7,1,2,1.8,23.2,76.9,28.4,2.2,8.63,28.6
2015-07-16,4380,26.9,24.9,32.1,16,3,2.1,23.1,81,28.3,2.3,8.55,27.5
2015-07-17,4200,24.7,22.6,25.4,26.5,4,2,24.1,96.9,29.9,0,3.79,26
2015-07-18,5005,25,24.4,26.4,80,5,3.2,24,95.1,29.9,0,1.93,25.4
2015-07-19,5225,26,23.5,30,40.5,6,2.6,23.1,85.5,28.3,4.3,14.11,25.4
2015-07-20,0,26.2,24.4,30,1.5,7,2.3,23.5,86,28.9,3.6,9.43,25.5
2015-07-21,5753,27.7,24.6,31.2,,0,2.7,22.4,74.4,27.1,7.2,15.95,28.8
2015-07-22,5426,26.7,24.8,28.8,4,1,2.6,23.4,82.9,28.8,0.2,5.49,26.2
2015-07-23,4390,28.6,25.5,33.1,,0,3.5,23.8,76.4,29.4,7.9,15.12,28.6
2015-07-24,6509,27.9,26.2,32.4,,0,2.7,22.8,74.3,27.7,6.7,14.93,29.3
2015-07-25,5340,28.2,26,31.6,,0,3.1,22.7,72.8,27.5,5.3,11.43,28.7
2015-07-26,5065,26.5,24.1,29.2,16.5,1,2.7,23.5,84.3,28.9,1.4,7.69,26.5
2015-07-27,3947,27.9,25.6,31.5,,0,3.8,22.1,71.5,26.5,6,12.74,29.1
2015-07-28,5054,27.5,25.4,30.8,,0,4.5,22.2,73.3,26.7,3.7,9.77,27.2
2015-07-29,4615,28.6,25.9,32.7,0.1,1,3.7,21.4,67,25.6,7.5,15.78,29.7
2015-07-30,5203,29.3,24.5,34.4,,0,2,21.6,64.5,25.8,11.8,21.48,31.6
2015-07-31,5598,28.9,26,34.4,11,1,1.4,22.8,71.3,27.8,7.5,15.11,32.6
