date,mosquito,temp,l_temp,h_temp,rain_per_day,accum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
2015-04-06,199,12.21428571,8.757142857,16.5,5.285714286,0,3.371428571,5.971428571,68.75714286,9.7,2.814285714,8.88,12.77142857
2015-04-07,146,11.57142857,8.114285714,16.11428571,4.928571429,0,3.428571429,4.757142857,65.74285714,8.928571429,3.485714286,9.891428571,12.7
2015-04-08,90,10.91428571,7.185714286,15.55714286,4.571428571,0,3.257142857,3.671428571,63.54285714,8.328571429,3.914285714,9.927142857,11.92857143
2015-04-09,172,10.17142857,6.514285714,14.77142857,0.571428571,0,2.871428571,1.985714286,59.61428571,7.314285714,4.771428571,10.88428571,11.55714286
2015-04-10,249,10.31428571,6.185714286,15.35714286,0.071428571,0,2.871428571,0.585714286,53.48571429,6.571428571,6.085714286,12.77714286,11.67142857
2015-04-11,410,10.31428571,5.871428571,15.67142857,0.071428571,0,2.614285714,0.085714286,52.24285714,6.328571429,6.957142857,13.81285714,11.87142857
2015-04-12,459,10.94285714,5.728571429,16.84285714,0,0,2.671428571,-1.185714286,45.88571429,5.671428571,7.5,15.2,12.27142857
2015-04-13,468,11.18571429,5.8,17.15714286,0.928571429,7,3.128571429,-1.085714286,45.61428571,5.714285714,8.057142857,15.87,12.8
2015-04-14,132,10.97142857,5.842857143,16.55714286,2.428571429,17,3.142857143,-0.457142857,49.95714286,6.057142857,7.385714286,15.17857143,12.54285714
2015-04-15,31,11.37142857,6.142857143,17.02857143,2.571428571,12,3.142857143,0.557142857,52.74285714,6.571428571,7.414285714,15.43857143,13.11428571
2015-04-16,573,11.41428571,6.585714286,16.81428571,3.571428571,8,3.328571429,1.585714286,56.52857143,7.071428571,6.028571429,13.35857143,12.67142857
2015-04-17,83,11.25714286,6.614285714,16.37142857,3.571428571,0,3.457142857,1.657142857,57.22857143,7.085714286,6.1,13.61285714,12.57142857
2015-04-18,416,11.5,6.4,16.8,3.571428571,0,3.371428571,1.357142857,56.17142857,6.971428571,5.842857143,13.59428571,12.67142857
2015-04-19,982,11.44285714,6.7,16.35714286,5.285714286,12,3.485714286,3.028571429,62.48571429,7.971428571,5.3,12.53,12.88571429
2015-04-20,282,11.47142857,7.114285714,16.24285714,5.142857143,18,3.1,3.842857143,65.54285714,8.457142857,4.957142857,11.64285714,12.82857143
2015-04-21,408,12.48571429,7.385714286,18.08571429,3.642857143,0,3.128571429,3.1,59.27142857,8.128571429,6.742857143,14.15714286,13.68571429
2015-04-22,933,12.92857143,7.914285714,18.61428571,3.5,0,3.142857143,2.657142857,55.7,7.885714286,7.128571429,14.55857143,13.88571429
2015-04-23,656,13.58571429,8.071428571,19.37142857,2.5,0,3.128571429,2.028571429,51.64285714,7.557142857,8.514285714,17.04285714,14.88571429
2015-04-24,764,14.32857143,8.871428571,20.32857143,2.5,0,3.057142857,2.257142857,50.62857143,7.685714286,8.528571429,17.05428571,15.72857143
2015-04-25,757,14.42857143,9.442857143,20.22857143,2.5,0,3.171428571,2.414285714,50.54285714,7.757142857,8.928571429,17.50428571,16.2
2015-04-26,862,14.82857143,9.257142857,21.24285714,0.785714286,0,3.114285714,1.371428571,45.22857143,7.128571429,10.6,19.75714286,16.85714286
2015-04-27,1033,15.72857143,9.6,22.4,0,0,3.057142857,0.714285714,40.08571429,6.728571429,11.9,21.66428571,17.9
2015-04-28,0,16.62857143,10.25714286,23.25714286,0,0,2.942857143,1.385714286,39.02857143,7.057142857,11.48571429,21.11285714,18.92857143
2015-04-29,1629,17.02857143,11.18571429,22.92857143,0.5,4,2.928571429,2.842857143,43.31428571,8.114285714,9.885714286,19.19,19.27142857
2015-04-30,1532,17.98571429,12.2,24.1,0.5,0,2.742857143,4.485714286,45.52857143,9.171428571,10.1,19.27142857,20.44285714
2015-05-01,2783,18.74285714,12.98571429,24.72857143,0.5,0,2.642857143,6.228571429,48.45714286,10.3,10.11428571,19.21428571,21.38571429
2015-05-02,2729,19.42857143,13.92857143,25.15714286,0.571428571,1,2.557142857,8.442857143,53.18571429,11.74285714,9.257142857,18.12142857,22.05714286
2015-05-03,2998,19.57142857,14.95714286,24.47142857,1.071428571,4,2.385714286,10.6,60.72857143,13.37142857,7.628571429,15.88428571,22.05714286
2015-05-04,3392,19.22857143,14.92857143,23.78571429,1.071428571,0,2.585714286,10.4,61.67142857,13.4,7.642857143,16.19142857,22
2015-05-05,3137,18.35714286,14.35714286,22.78571429,1.071428571,0,2.771428571,9.557142857,61.57142857,12.95714286,8.114285714,17.04571429,21.65714286
2015-05-06,2849,18.12857143,13.5,23.3,0.571428571,0,2.7,7.642857143,55.75714286,11.67142857,9.057142857,18.51714286,21.81428571
2015-05-07,2819,17.45714286,12.85714286,22.68571429,0.571428571,0,2.757142857,5.957142857,52.75714286,10.61428571,8.614285714,18.13142857,21.6
2015-05-08,2926,16.84285714,12.25714286,22.04285714,0.571428571,0,2.757142857,5.585714286,53.54285714,10.28571429,7.414285714,17.04571429,21.12857143
2015-05-09,0,16.4,11.8,21.75714286,0.5,0,2.885714286,4.857142857,52.2,9.642857143,7.985714286,17.95571429,21.32857143
2015-05-10,0,16.51428571,11.28571429,22.65714286,0,0,2.914285714,3.057142857,44.94285714,8.114285714,9.642857143,20.55142857,22.21428571
2015-05-11,0,16.84285714,11.55714286,23.22857143,2,14,2.742857143,4.3,47.25714286,8.814285714,8.414285714,19.00285714,22.51428571
2015-05-12,1713,16.71428571,11.84285714,22.88571429,3.357142857,24,3.171428571,5.714285714,52.68571429,9.614285714,7.242857143,17.24857143,21.95714286
2015-05-13,2323,17,12.12857143,22.8,3.357142857,0,3.585714286,7.014285714,55.62857143,10.38571429,8.071428571,18.27714286,22.07142857
2015-05-14,5430,17.55714286,12.8,23.17142857,3.357142857,0,3.685714286,8.914285714,59.65714286,11.68571429,8,18.31285714,22.11428571
2015-05-15,8425,17.9,13.45714286,23.31428571,3.357142857,0,3.714285714,9.471428571,60.61428571,12.2,7.957142857,17.75285714,21.82857143
2015-05-16,3935,17.95714286,13.31428571,23.48571429,3.357142857,0,3.714285714,8.8,58.65714286,11.78571429,8.342857143,18.32571429,21.52857143
2015-05-17,6276,17.88571429,13.05714286,23.38571429,3.357142857,0,3.7,8.571428571,58.77142857,11.71428571,8.5,18.01285714,21.05714286
2015-05-18,7851,17.78571429,12.95714286,23.11428571,1.357142857,0,3.728571429,8.171428571,57.6,11.44285714,8.357142857,18.04571429,20.6
2015-05-19,10366,18,13.34285714,22.92857143,0.142857143,1,3.328571429,8.757142857,59.45714286,11.94285714,7.714285714,16.69428571,20.6
2015-05-20,2926,17.84285714,13.17142857,23,0.142857143,0,3.014285714,8.614285714,59.9,11.82857143,7.785714286,16.91,21
2015-05-21,16089,17.6,12.78571429,22.91428571,0.142857143,0,3.071428571,7.771428571,57.94285714,11.1,8.314285714,17.68857143,21.32857143
2015-05-22,3450,17.72857143,12.41428571,23.41428571,0.142857143,0,3.1,6.828571429,54.27142857,10.3,9.642857143,19.67285714,22.3
2015-05-23,3479,18.1,12.7,23.85714286,0.142857143,0,3.028571429,6.957142857,53.87142857,10.37142857,9.5,19.39428571,22.75714286
2015-05-24,10082,18.44285714,13.02857143,24.32857143,0.142857143,0,3.057142857,7.3,53.42857143,10.5,9.571428571,20.02285714,23.65714286
2015-05-25,10540,18.88571429,13.12857143,25.25714286,0.142857143,0,2.985714286,7.642857143,53.31428571,10.68571429,11.08571429,21.56857143,24.94285714
2015-05-26,5488,19.84285714,13.28571429,27.27142857,0,0,2.857142857,7.014285714,47.6,10.17142857,12.97142857,24.73285714,26.81428571
2015-05-27,4262,20.82857143,13.82857143,28.64285714,0,0,2.7,6.428571429,43.72857143,9.828571429,13.05714286,24.86,28.08571429
2015-05-28,4636,21.62857143,14.41428571,29.52857143,0,0,2.485714286,5.9,40.44285714,9.485714286,13.04285714,24.67428571,28.88571429
2015-05-29,16214,22.17142857,15.1,29.9,0,0,2.428571429,6,39.22857143,9.571428571,12.35714286,23.80857143,29.42857143
2015-05-30,5448,22.05714286,15.58571429,29.17142857,0.057142857,0,2.485714286,7.4,43.87142857,10.68571429,11.17142857,21.74142857,28.72857143
2015-05-31,5350,22.21428571,15.77142857,29.44285714,0.057142857,0,2.457142857,8.157142857,46.08571429,11.27142857,11.02857143,21.45857143,28.84285714
2015-06-01,10706,22.34285714,15.97142857,29.41428571,0.057142857,0,2.442857143,7.914285714,44.87142857,11.1,10.82857143,20.83285714,28.52857143
2015-06-02,4828,22.57142857,16.54285714,29.34285714,0.057142857,0,2.442857143,8.171428571,44.58571429,11.28571429,10.7,20.32,28.54285714
2015-06-03,4857,22.58571429,16.92857143,29.04285714,0.057142857,0,2.7,8.271428571,44.64285714,11.35714286,10.65714286,20.43714286,28.62857143
2015-06-04,3269,22.57142857,16.98571429,28.94285714,0.057142857,0,2.757142857,8.4,44.9,11.42857143,10.31428571,19.96,28.82857143
2015-06-05,3304,21.9,16.84285714,27.82857143,0.2,1,2.642857143,8.814285714,48.04285714,11.75714286,9.2,17.87666667,27.28571429
2015-06-06,3455,22.27142857,16.75714286,28.64285714,0.142857143,0,2.557142857,8.342857143,45.1,11.28571429,10.2,20.19166667,28.5
2015-06-07,3721,22.45714286,17.24285714,28.8,0.142857143,0,2.571428571,8.4,44.24285714,11.3,9.585714286,19.65666667,28.57142857
2015-06-08,3440,22.55714286,17.58571429,28.7,0.142857143,0,2.528571429,9.014285714,45.71428571,11.81428571,8.6,18.77833333,28.77142857
2015-06-09,3466,22.42857143,17.68571429,28.45714286,0.142857143,0,2.557142857,9.685714286,48.48571429,12.44285714,8.328571429,18.41833333,28.48571429
2015-06-10,3161,22.71428571,17.75714286,29.24285714,0.142857143,0,2.328571429,11.07142857,51.48571429,13.5,8.028571429,17.9,28.81428571
2015-06-11,3713,22.77142857,18.27142857,29.05714286,1.214285714,8,2.357142857,12.61428571,55.87142857,14.82857143,7.214285714,16.99,28.22857143
2015-06-12,3399,23.41428571,18.54285714,30.18571429,1.142857143,8,2.657142857,13.3,56.48571429,15.5,8.871428571,19.35571429,29.35714286
2015-06-13,4172,23.74285714,19.07142857,30.47142857,1.214285714,1,2.785714286,14.11428571,58.12857143,16.37142857,8.514285714,18.45571429,28.92857143
2015-06-14,5474,23.65714286,18.94285714,29.92857143,3.428571429,16,2.842857143,14.98571429,61.48571429,17.25714286,8.557142857,18.32285714,28.41428571
2015-06-15,4680,23.91428571,19.14285714,30.32857143,3.428571429,0,2.828571429,15.61428571,63.01428571,17.92857143,9.142857143,18.87714286,28.14285714
2015-06-16,4599,24.31428571,19.31428571,30.72857143,3.428571429,0,2.757142857,16,62.95714286,18.4,9.028571429,19.07285714,28.27142857
2015-06-17,4662,24.04285714,19.68571429,30.14285714,4.785714286,10,2.814285714,16.57142857,65.6,19.04285714,8.457142857,17.91142857,27.17142857
2015-06-18,4421,24.07142857,19.52857143,30.3,4.142857143,13,2.8,16.62857143,65.57142857,19.05714286,9.128571429,19.15142857,26.85714286
2015-06-19,3577,24.2,19.61428571,30.3,4.071428571,0,2.671428571,16.64285714,64.81428571,19.04285714,8.742857143,18.63285714,26.58571429
2015-06-20,4412,23.47142857,19.17142857,29.11428571,10.35714286,45,2.471428571,16.84285714,68.97142857,19.25714286,7.528571429,16.69857143,25.68571429
2015-06-21,3039,23.41428571,18.85714286,29.38571429,8.142857143,0,2.371428571,16.7,68.8,19.08571429,8.142857143,17.22571429,25.52857143
2015-06-22,4497,23.38571429,18.82857143,29.17142857,8.142857143,0,2.4,16.48571429,68.05714286,18.82857143,8.442857143,17.69142857,25.54285714
2015-06-23,6747,23.34285714,18.78571429,29.18571429,8.142857143,0,2.385714286,16.38571429,67.8,18.68571429,8.714285714,17.64571429,25.34285714
2015-06-24,4712,23.67142857,18.91428571,29.15714286,6.785714286,0,2.371428571,16.18571429,65.72857143,18.45714286,8.928571429,18.02857143,25.54285714
2015-06-25,4104,23.67142857,19.11428571,28.84285714,6.642857143,2,2.285714286,16.45714286,66.54285714,18.78571429,8,16.84571429,25.77142857
2015-06-26,5243,23.17142857,18.82857143,28.18571429,8.428571429,15,2.342857143,16.58571429,69.11428571,18.92857143,6.728571429,15.63142857,25.34285714
2015-06-27,4730,23.97142857,19.14285714,29.4,2.071428571,0,2.4,16.15714286,64.01428571,18.42857143,8.528571429,18.90571429,26.34285714
