loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,accum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
112,인천,2015-01-07,-2.1,-5.171428571,1.871428571,0,0,4.242857143,-7.614285714,67.75714286,4.014285714,7.742857143,7.835714286,-0.885714286
112,인천,2015-01-08,-1.685714286,-5.028571429,2.557142857,0,0,3.6,-7.057142857,68.65714286,4.128571429,7.771428571,7.868571429,-0.828571429
112,인천,2015-01-09,-1.085714286,-4.6,3.328571429,0,0,3.385714286,-6.085714286,70.72857143,4.385714286,7.657142857,7.73,-0.714285714
112,인천,2015-01-10,-0.657142857,-3.985714286,3.7,0,0,3.371428571,-5.585714286,71.27142857,4.528571429,7.871428571,7.891428571,-0.542857143
112,인천,2015-01-11,-1.157142857,-4.5,3.114285714,0,0,3.8,-6.542857143,68.6,4.142857143,8.314285714,8.272857143,-0.557142857
112,인천,2015-01-12,-2.157142857,-5.457142857,2.057142857,0,0,3.942857143,-8.4,63.82857143,3.528571429,9.014285714,8.725714286,-0.785714286
112,인천,2015-01-13,-1.728571429,-5.157142857,2.157142857,0,0,3.228571429,-8.028571429,63.52857143,3.585714286,8.628571429,8.39,-0.914285714
112,인천,2015-01-14,-0.842857143,-4.285714286,2.857142857,0,0,2.785714286,-6.714285714,65.57142857,3.885714286,7.3,7.431428571,-0.714285714
112,인천,2015-01-15,0.042857143,-3.328571429,3.842857143,0,0,2.914285714,-5.528571429,67.4,4.242857143,7.071428571,7.258571429,-0.4
112,인천,2015-01-16,0.357142857,-2.971428571,3.871428571,0,0,3.228571429,-4.928571429,69.01428571,4.471428571,6.228571429,6.75,-0.214285714
112,인천,2015-01-17,-0.328571429,-3.357142857,3.071428571,0,0,3.571428571,-5.885714286,67.31428571,4.171428571,6.285714286,6.898571429,-0.228571429
112,인천,2015-01-18,-0.357142857,-3.657142857,2.928571429,3.3,3.3,3.314285714,-5.614285714,68.97142857,4.257142857,5.457142857,6.35,-0.357142857
112,인천,2015-01-19,0.071428571,-3.242857143,3.085714286,0.1,3.4,3.514285714,-4.328571429,73.41428571,4.628571429,5.4,6.254285714,-0.157142857
112,인천,2015-01-20,-0.128571429,-3.457142857,2.785714286,0,0,3.571428571,-4.057142857,75.78571429,4.7,5.585714286,6.352857143,-0.1
112,인천,2015-01-21,-0.085714286,-3.614285714,3.157142857,0,0,3.628571429,-3.585714286,77.91428571,4.857142857,5.785714286,6.702857143,-0.085714286
112,인천,2015-01-22,0.014285714,-3.414285714,3.142857143,0,0,3.657142857,-3.4,78.2,4.914285714,5.771428571,6.731428571,0.014285714
112,인천,2015-01-23,0.042857143,-3.285714286,3.371428571,0,0,3.328571429,-3.342857143,78.37142857,4.914285714,6.285714286,7.127142857,0.1
112,인천,2015-01-24,1.1,-2.1,4.571428571,0,0,2.885714286,-1.785714286,81.3,5.442857143,5.871428571,6.888571429,0.485714286
112,인천,2015-01-25,1.614285714,-1.142857143,4.871428571,4.9,4.9,2.742857143,-1.085714286,82.57142857,5.728571429,5.371428571,6.371428571,0.714285714
112,인천,2015-01-26,2.042857143,-0.557142857,5.428571429,0.6,5.5,2.628571429,-0.457142857,84.02857143,6.014285714,4.5,5.981428571,1.057142857
112,인천,2015-01-27,1.7,-0.642857143,5.242857143,0,0,3.071428571,-1.1,82.31428571,5.857142857,4.771428571,6.427142857,1.3
112,인천,2015-01-28,0.8,-1.671428571,4.4,0,0,3.271428571,-2.3,80.55714286,5.514285714,5.814285714,7.085714286,1.257142857
112,인천,2015-01-29,0.171428571,-2.371428571,3.728571429,0,0,3.157142857,-3.014285714,79.95714286,5.257142857,4.771428571,6.511428571,1.057142857
112,인천,2015-01-30,-0.442857143,-2.971428571,3.028571429,0,0,3.528571429,-4.114285714,77.05714286,4.9,5.214285714,7.072857143,0.914285714
112,인천,2015-01-31,-1.614285714,-4.242857143,1.728571429,0,0,3.785714286,-5.871428571,73.65714286,4.328571429,5.685714286,7.481428571,0.514285714
