date,total,mosquito,etc
2019-09-22,2210,2193,17
2019-09-23,2726,2704,22
2019-09-24,2306,2283,23
2019-09-25,2357,2344,13
2019-09-26,2410,2392,18
2019-09-27,2542,2521,21
2019-09-28,2411,2393,18
2019-09-29,2612,2592,20
2019-09-30,2647,2631,16
2019-10-01,2597,2569,28
2019-10-02,2510,2493,17
2019-10-03,2470,2445,25
2019-10-04,2521,2503,18
2019-10-05,3175,3150,25
2019-10-06,2147,2136,11
2019-10-07,2491,2471,20
2019-10-08,739,731,8
2019-10-09,850,847,3
2019-10-10,868,861,7
2019-10-11,1117,1111,6
2019-10-12,1890,1872,18
2019-10-13,1586,1573,13
2019-10-14,1141,1135,6
2019-10-15,623,609,14
2019-10-16,629,624,5
2019-10-17,877,874,3
2019-10-18,712,707,5
2019-10-19,1250,1244,6
2019-10-20,902,896,6
2019-10-21,906,901,5
2019-10-22,945,936,9
2019-10-23,1008,1004,4
2019-10-24,1126,1125,1
2019-10-25,1288,1276,12
2019-10-26,731,725,6
2019-10-27,182,181,1
2019-10-28,268,266,2
2019-10-29,440,439,1
2019-10-30,210,206,4
2019-10-31,185,185,0
2020-05-01,869,842,27
2020-05-02,882,861,21
2020-05-03,930,896,34
2020-05-04,1322,1304,19
2020-05-05,1119,1090,30
2020-05-06,915,902,13
2020-05-07,1396,1367,29
2020-05-08,1583,1552,31
2020-05-09,859,831,28
2020-05-10,807,785,22
2020-05-11,1218,1176,42
2020-05-12,1654,1625,29
2020-05-13,1348,1328,20
2020-05-14,1678,1656,22
2020-05-15,1842,1813,29
2020-05-16,1000,979,21
2020-05-17,1460,1434,26
2020-05-18,1979,1952,27
2020-05-19,1368,1338,30
2020-05-20,1028,1010,18
2020-05-21,1563,1540,23
2020-05-22,1916,1890,26
2020-05-23,2005,1976,29
2020-05-24,2168,2141,27
2020-05-25,1891,1874,17
2020-05-26,2227,2200,27
2020-05-27,2147,2126,21
2020-05-28,2596,2571,25
2020-05-29,3057,3024,33
2020-05-30,3217,3183,34
2020-05-31,3088,3038,50
2020-06-01,3332,3288,44
2020-06-02,3651,3610,41
2020-06-03,3136,3106,30
2020-06-04,3590,3568,22
2020-06-05,3808,3771,37
2020-06-06,4008,3982,26
2020-06-07,3602,3564,38
2020-06-08,3656,3621,35
2020-06-09,3294,3263,31
2020-06-10,3305,3266,39
2020-06-11,3117,3087,30
2020-06-12,3687,3646,41
2020-06-13,3339,3297,42
2020-06-14,2867,2824,43
2020-06-15,3134,3102,32
2020-06-16,3177,3148,29
2020-06-17,3024,2997,27
2020-06-18,3444,3417,27
2020-06-19,3246,3220,26
2020-06-20,3538,3476,62
2020-06-21,3087,3059,28
2020-06-22,2899,2865,34
2020-06-23,2425,2393,32
2020-06-24,2378,2355,23
2020-06-25,1901,1888,13
2020-06-26,2062,2035,27
2020-06-27,2952,2917,35
2020-06-28,2836,2800,36
2020-06-29,2848,2822,26
2020-06-30,2213,2181,32
2020-07-01,2372,2341,31
2020-07-02,2984,2898,86
2020-07-03,3016,2971,45
2020-07-04,3365,3331,34
2020-07-05,3294,3267,27
2020-07-06,3228,3183,45
2020-07-07,3351,3303,48
2020-07-08,3276,3235,41
2020-07-09,3746,3689,57
2020-07-10,3917,3893,24
2020-07-11,3598,3578,20
2020-07-12,3854,3824,30
2020-07-13,3068,3036,32
2020-07-14,2593,2574,19
2020-07-15,3271,3240,31
2020-07-16,3825,3795,30
2020-07-17,3928,3847,81
2020-07-18,3259,3225,34
2020-07-19,3660,3634,26
2020-07-20,3612,3589,23
2020-07-21,3873,3851,22
2020-07-22,3663,3628,35
2020-07-23,3582,3540,42
2020-07-24,2105,2089,16
2020-07-25,3057,3035,22
2020-07-26,2702,2663,39
2020-07-27,3242,3221,21
2020-07-28,2676,2646,30
2020-07-29,2918,2884,34
2020-07-30,2163,2143,20
2020-07-31,3082,3043,39
2020-08-01,3229,3187,42
2020-08-02,3227,3183,44
2020-08-03,2426,2401,25
2020-08-04,1929,1902,28
2020-08-05,2322,2302,20
2020-08-06,2399,2378,21
2020-08-07,2124,2101,23
2020-08-08,2251,2233,18
2020-08-09,2266,2236,30
2020-08-10,2155,2122,33
2020-08-11,1920,1907,13
2020-08-12,2071,2052,19
2020-08-13,2562,2533,29
2020-08-14,2331,2293,38
2020-08-15,2741,2721,20
2020-08-16,2429,2389,40
2020-08-17,3518,3488,30
2020-08-18,3258,3211,47
2020-08-19,3048,3011,37
2020-08-20,3284,3247,37
2020-08-21,3117,3098,19
2020-08-22,2882,2843,39
2020-08-23,2241,2198,43
2020-08-24,3321,3287,34
2020-08-25,3405,3361,44
2020-08-26,3175,3138,37
2020-08-27,2281,2250,31
2020-08-28,2814,2781,33
2020-08-29,2890,2869,21
2020-08-30,2794,2784,10
2020-08-31,2946,2930,16
2020-09-01,3059,3036,23
2020-09-02,3532,3515,17
2020-09-03,2941,2903,38
2020-09-04,3653,3628,25
2020-09-05,3747,3703,44
2020-09-06,3626,3600,26
2020-09-07,2482,2471,11
2020-09-08,2711,2678,33
2020-09-09,3568,3532,36
2020-09-10,2187,2160,27
2020-09-11,2898,2864,34
2020-09-12,3031,3002,29
2020-09-13,2636,2611,25
2020-09-14,3215,3176,39
2020-09-15,3304,3269,35
2020-09-16,3987,3946,41
2020-09-17,3568,3544,24
2020-09-18,4161,4127,34
2020-09-19,3751,3715,36
2020-09-20,3861,3815,46
2020-09-21,3017,2983,34
2020-09-22,2538,2507,31
2020-09-23,3177,3142,35
2020-09-24,3212,3189,23
2020-09-25,3396,3366,30
2020-09-26,3062,3048,14
2020-09-27,3109,3088,21
2020-09-28,2913,2884,29
2020-09-29,2951,2921,30
2020-09-30,2785,2747,38
2020-10-01,2409,2381,28
2020-10-02,2999,2972,27
2020-10-03,2512,2479,33
2020-10-04,3277,3240,37
2020-10-05,2059,2031,28
2020-10-06,1522,1507,15
2020-10-07,1702,1668,34
2020-10-08,1790,1766,24
2020-10-09,2357,2326,31
2020-10-10,2602,2573,29
2020-10-11,2320,2291,29
2020-10-12,1539,1526,13
2020-10-13,1857,1834,23
2020-10-14,1051,1043,8
2020-10-15,729,722,7
2020-10-16,736,729,7
2020-10-17,665,651,14
2020-10-18,732,723,9
2020-10-19,999,990,9
2020-10-20,955,949,6
2020-10-21,1097,1089,9
2020-10-22,989,982,7
2020-10-23,522,519,3
2020-10-24,274,270,4
2020-10-25,363,358,5
2020-10-26,542,536,6
2020-10-27,544,535,9
2020-10-28,895,884,11
2020-10-29,701,695,6
2020-10-30,549,543,6
2020-10-31,461,454,7
