"측정년월","기간(주)","작은빨간집모기","빨간집모기","동양집모기","중국얼룩날개모기","큰검정들모기","한국숲모기","흰줄숲모기","금빛숲모기","토고숲모기","지점명"
"200406","3","156","0","171","2","9","0","15","0","0","부산지역축사"
"200406","2","127","0","66","9","24","0","1","0","0","부산지역축사"
"200406","1","273","0","92","0","77","0","9","0","0","부산지역축사"
"200405","4","103","0","25","9","25","0","9","0","0","부산지역축사"
"200405","3","93","0","7","1","8","0","5","0","0","부산지역축사"
"200405","2","52","0","4","2","0","0","5","0","0","부산지역축사"
"200405","1","56","0","4","0","0","0","8","0","0","부산지역축사"
"200404","4","5","0","1","0","0","0","0","0","0","부산지역축사"
"200404","3","15","0","0","0","0","0","0","0","0","부산지역축사"
"200310","4","84","0","5","4","0","0","0","0","0","부산지역축사"
"200310","3","259","0","34","15","0","10","0","0","0","부산지역축사"
"200310","2","149","0","11","5","0","2","0","0","0","부산지역축사"
"200310","1","448","0","66","8","0","9","14","0","0","부산지역축사"
"200309","5","280","0","73","8","0","4","5","0","0","부산지역축사"
"200309","4","276","0","114","0","0","0","1","0","0","부산지역축사"
"200309","3","3865","0","2571","0","0","4","6","0","0","부산지역축사"
"200309","1","5708","0","8808","17","0","19","33","0","0","부산지역축사"
"200308","4","4338","0","8541","17","0","18","35","0","0","부산지역축사"
"200308","3","6613","0","9036","19","0","25","62","0","0","부산지역축사"
"200308","2","2178","0","5075","20","0","28","38","0","0","부산지역축사"
"200308","1","2960","0","9207","28","0","18","41","0","0","부산지역축사"
"200307","5","1330","0","3980","9","0","31","45","0","0","부산지역축사"
"200307","4","921","0","2739","7","0","3","53","0","0","부산지역축사"
"200307","3","664","2","1801","6","0","3","54","0","0","부산지역축사"
"200307","2","768","0","1430","0","5","41","35","0","0","부산지역축사"
"200307","1","900","0","834","7","1","5","77","0","0","부산지역축사"
"200306","4","316","0","165","9","1","2","12","0","0","부산지역축사"
"200306","3","268","0","331","1","18","0","78","0","0","부산지역축사"
"200306","2","108","0","138","0","6","0","27","0","0","부산지역축사"
"200306","1","103","0","81","0","4","2","18","0","0","부산지역축사"
"200305","4","128","1","54","0","22","0","9","0","0","부산지역축사"
"200305","3","18","0","17","0","9","0","13","0","0","부산지역축사"
"200305","2","78","0","70","0","3","0","46","0","0","부산지역축사"
"200305","1","13","0","12","0","0","0","10","0","0","부산지역축사"
"200304","4","8","0","10","0","0","0","0","0","0","부산지역축사"
"200304","3","5","0","5","0","0","0","0","0","0","부산지역축사"
"200210","4","46","0","5","4","0","0","0","0","0","부산지역축사"
"200210","3","223","0","17","2","0","0","1","0","0","부산지역축사"
"200210","2","234","0","18","0","7","0","0","0","0","부산지역축사"
"200210","1","488","0","164","0","0","1","8","0","0","부산지역축사"
"200209","5","647","0","99","0","1","0","0","0","0","부산지역축사"
"200209","4","276","0","114","0","0","0","1","0","0","부산지역축사"
"200209","3","598","0","334","3","0","0","4","0","0","부산지역축사"
"200209","2","571","0","730","0","0","0","4","0","0","부산지역축사"
"200209","1","475","0","432","0","0","0","0","0","0","부산지역축사"
"200208","5","585","0","327","0","0","0","4","0","0","부산지역축사"
"200208","4","3569","0","2472","0","0","0","0","0","0","부산지역축사"
"200208","3","3569","0","2472","0","0","0","0","0","0","부산지역축사"
"200208","2","1960","0","507","0","0","0","0","0","0","부산지역축사"
"200208","1","2948","0","1424","0","0","0","0","0","0","부산지역축사"
"200207","4","1430","0","1343","0","0","0","0","0","0","부산지역축사"
"200207","3","1241","0","2274","0","0","0","0","0","0","부산지역축사"
"200207","2","1178","0","1998","0","0","0","0","0","0","부산지역축사"
"200207","1","997","0","1376","0","2","0","13","0","0","부산지역축사"
"200206","4","349","0","278","0","0","0","2","0","0","부산지역축사"
"200206","3","340","0","238","0","1","0","2","0","0","부산지역축사"
"200206","2","218","0","94","0","3","0","11","0","0","부산지역축사"
"200206","1","135","0","37","0","0","0","13","0","0","부산지역축사"
"200205","5","107","0","21","0","4","0","7","0","0","부산지역축사"
"200205","4","54","0","6","0","1","0","7","0","0","부산지역축사"
"200205","3","18","0","17","0","9","0","13","0","0","부산지역축사"
"200205","2","32","0","11","0","2","0","4","0","0","부산지역축사"
"200205","1","44","0","7","0","1","0","1","0","0","부산지역축사"
"200204","4","7","0","1","0","0","0","0","0","0","부산지역축사"
"200204","3","1","0","0","0","0","0","0","0","0","부산지역축사"
"-","5","4271","224","0","2621","4.5","0","0","241.5","37.5","부산지역축사"
"-","4","672.5","19.5","0","806","2","0","0","79","14.5","부산지역축사"
"-","3","1445.5","47","0","1248.5","3.5","3","0","7.5","14","부산지역축사"
"-","2","2907","75","0","4765.5","2","0","0","106","27.5","부산지역축사"
