mosquito,temp,rain_per_day,cum_rain,wind,humidity,steam_pressure,sunshine_time,sunshine
0.183691993,0.632508834,0,0,0.543859649,0.129781421,0.196610169,0.96350365,0.875700626
0.123633751,0.664310954,0,0,0.333333333,0.069672131,0.186440678,0.722627737,0.647433784
0.124957452,0.48409894,0.006920415,0.090909091,0.175438596,0.478142077,0.338983051,0.02189781,0.195186284
0.13066828,0.600706714,0,0,0.280701754,0.363387978,0.345762712,0.802919708,0.760633037
0.140728414,0.636042403,0,0,0.280701754,0.31420765,0.338983051,0.598540146,0.673590504
0.13010098,0.600706714,0,0,0.280701754,0.424863388,0.4,0.372262774,0.485328058
0.131084301,0.593639576,0,0,0.385964912,0.580601093,0.481355932,0.773722628,0.649192219
0.119549185,0.703180212,0,0,0.263157895,0.416666667,0.447457627,0.810218978,0.773161886
0.140425854,0.67844523,0.051903114,0.090909091,0.368421053,0.489071038,0.501694915,0.306569343,0.379492252
0.128550357,0.643109541,0.003460208,0.181818182,0.543859649,0.536885246,0.498305085,0.868613139,0.741180349
0.157785258,0.681978799,0.003460208,0.272727273,0.438596491,0.520491803,0.552542373,0.620437956,0.552917903
0.207026966,0.614840989,0.107266436,0.363636364,0.350877193,0.635245902,0.549152542,0.620437956,0.642927794
0.176997844,0.664310954,0,0,0.263157895,0.571038251,0.559322034,0.671532847,0.613254204
0.17393442,0.692579505,0,0,0.298245614,0.575136612,0.593220339,0.715328467,0.694362018
0.176317083,0.636042403,0.065743945,0.090909091,0.333333333,0.669398907,0.6,0.518248175,0.505110452
0.167202451,0.685512367,0.020761246,0.181818182,0.350877193,0.486338798,0.505084746,0.649635036,0.665677547
0.135282327,0.674911661,0,0,0.385964912,0.464480874,0.494915254,0.671532847,0.621496868
0.16686207,0.501766784,0.307958478,0.090909091,0.192982456,0.918032787,0.603389831,0,0.106495219
0.114935139,0.600706714,0,0,0.228070175,0.618852459,0.508474576,0.934306569,0.764589515
0.170076775,0.657243816,0,0,0.298245614,0.5,0.498305085,0.824817518,0.720738543
0.255171892,0.681978799,0,0,0.280701754,0.550546448,0.559322034,0.854014599,0.683811408
0.178208086,0.717314488,0,0,0.315789474,0.471311475,0.545762712,0.627737226,0.59347181
0.155213494,0.685512367,0.01384083,0.090909091,0.245614035,0.56420765,0.583050847,0.175182482,0.392680514
0.198290534,0.551236749,0.08650519,0.181818182,0.456140351,0.710382514,0.528813559,0.02189781,0.341246291
0.178888847,0.699646643,0,0,0.263157895,0.430327869,0.484745763,0.919708029,0.862182657
0.199916796,0.706713781,0,0,0.333333333,0.519125683,0.572881356,0.948905109,0.768216288
0.268824931,0.717314488,0,0,0.368421053,0.519125683,0.576271186,0.832116788,0.741180349
0.270262093,0.671378092,0.017301038,0.090909091,0.175438596,0.631147541,0.616949153,0.204379562,0.279261457
0.329034454,0.64664311,0.003460208,0.181818182,0.543859649,0.580601093,0.545762712,0.854014599,0.758654797
0.360046897,0.64664311,0,0,0.578947368,0.556010929,0.515254237,0.810218978,0.679525223
0.440943989,0.632508834,0,0,0.403508772,0.530054645,0.488135593,0.810218978,0.740520936
0.311221209,0.660777385,0,0,0.263157895,0.43715847,0.450847458,0.795620438,0.687108473
0.270413373,0.664310954,0,0,0.280701754,0.459016393,0.477966102,0.708029197,0.600395648
0.32574411,0.703180212,0,0,0.263157895,0.416666667,0.474576271,0.722627737,0.673260798
0.307893045,0.713780919,0,0,0.228070175,0.386612022,0.474576271,0.401459854,0.487306297
0.239590031,0.636042403,0.003460208,0.090909091,0.578947368,0.628415301,0.579661017,0.094890511,0.408506429
0.265648047,0.745583039,0,0,0.385964912,0.512295082,0.616949153,0.328467153,0.464226838
0.273817178,0.840989399,0,0,0.210526316,0.506830601,0.711864407,0.635036496,0.591163864
0.239703491,0.883392226,0,0,0.245614035,0.49863388,0.769491525,0.722627737,0.59248269
0.220037064,0.685512367,0.200692042,0.090909091,0.578947368,0.960382514,0.898305085,0,0.158918562
0.237434288,0.625441696,0.069204152,0.181818182,0.789473684,0.915300546,0.769491525,0.00729927,0.115397296
0.24601944,0.731448763,0,0,0.49122807,0.663934426,0.718644068,0.737226277,0.673590504
0.23206384,0.795053004,0,0,0.385964912,0.478142077,0.627118644,0.832116788,0.643257501
0.165651829,0.681978799,0,0,0.754385965,0.37568306,0.440677966,0.817518248,0.691394659
0.158844219,0.643109541,0,0,0.50877193,0.355191257,0.389830508,0.591240876,0.614243323
0.189289361,0.667844523,0.003460208,0.090909091,0.263157895,0.542349727,0.559322034,0.080291971,0.293768546
0.197609773,0.696113074,0.034602076,0.181818182,0.192982456,0.732240437,0.722033898,0.248175182,0.417738213
