,mosquito
0,-0.7196823355001899
1,-0.8303404479706054
2,-0.675081281163319
3,1.947360606952386
4,-1.0930275428985892
5,1.0555092981030194
6,-0.6887919714402522
7,-0.18449022023491166
8,0.022405760013960458
9,0.9663901073751334
10,-0.6229504337204075
11,0.1387794423764415
12,0.846404579335263
13,-0.5481245797118919
14,0.8821986064193161
15,-0.2792786732965952
16,-0.34753132601302983
17,1.4246659079188269
18,-0.009742580137234662
19,-1.1511805002705333
20,-1.2745029912976193
21,-0.04049788628460066
22,-1.1630832800259479
23,-0.6352437942709547
24,0.09592584878578637
25,0.8270683820675857
26,0.2542832532505492
27,1.068644174237098
28,-0.07291769368382629
29,-0.5878989310380477
30,-0.5527088677114563
31,0.8340818849582984
32,-0.5439046779921197
33,-0.8136373495758238
34,-0.3883067185059368
35,0.1504688697700413
36,0.7558577678617744
37,1.6604633506853643
38,-0.18548228528161845
39,-0.7148870860351043
40,0.9144112375713951
41,0.6992163529749079
42,-0.7113392375149271
43,0.05780944666215327
44,0.7901375891425749
45,0.044649126516304
46,0.27847437092193805
47,-0.9726480538118737
48,0.2214139721955782
49,-1.0110942984511693
50,-0.9045865341590253
51,-0.9409386362575116
52,-0.1452474818969757
53,0.45903895711026166
54,-0.44321068561071736
55,0.030820084437423702
56,-0.2602758095814867
57,-1.3445909350185086
58,-0.013224692273454481
59,0.37205881718931927
60,-1.1277219758680297
61,-0.12174406791094614
62,-0.36066964830085313
63,0.557848885078966
64,-1.0380545808927581
65,1.115880027170157
66,-0.28461091435118646
67,0.31915095255537745
68,-0.4400368932586765
69,0.13555923637629663
70,0.5807916935751134
71,-0.4371978966637994
72,1.0330880588878741
73,-0.18703151547838548
74,0.503721828487742
75,-0.9730420730194408
76,-0.5372364336678409
77,-0.9173920957967159
78,-0.23239404292434576
79,-0.27788287592784067
80,-0.15503942161487852
81,0.34262489149337116
82,0.21967406111849658
83,0.7320717495502506
84,-0.28505900149964447
85,0.4706745644927677
86,-0.231482108455564
87,1.303438931076005
88,0.5786393563788339
89,-0.7473617120176399
90,0.8511541634662866
91,0.09540305816140278
92,-0.5885840459551505
93,-1.4364933549693015
94,0.6211869801562822
95,-0.7314472427716228
96,0.11852370013571625
97,1.0322061815473782
98,0.13390588555944746
99,0.04495467711781365
100,0.05198311527890099
101,0.13776172580529542
102,-0.876927659850162
103,-0.4552925615631846
104,-0.4192131537360696
105,-0.17319263616098662
106,0.5690755351339062
107,1.1101625856900135
108,-0.28226043489563474
109,-1.043706788608992
110,-0.29074123938073254
111,1.1387681614300778
112,-0.9988184264585821
113,0.9927132511275784
114,0.07261602706691532
115,-0.16673272664418531
116,-0.26362421705821093
117,0.6655500308209564
118,-0.019937025587993984
119,0.12546503832753167
120,0.8118509032401594
121,0.0647214715664223
122,0.33243230278953445
123,0.6615120621566595
124,-0.6554365953708007
125,-0.25858964642983656
126,0.6512710489751351
127,0.4710134013887878
128,0.5188683889377852
129,0.6639602239589041
130,-0.9841345952068069
131,-0.7180901488492046
132,0.5898935957549447
133,-0.8253217587515166
134,-0.5860526456188122
135,-1.0226193615309829
136,0.14562950863990762
137,0.003522448939266634
138,0.06280589742235967
139,0.7506965379489545
140,-0.22731059906357354
141,0.1922157095745785
142,0.7761531800588304
143,-0.6445769336184315
144,0.7978357121451068
145,0.5419758234566293
146,0.23725651332780612
147,-1.0950768140885367
148,0.3247860587173392
149,-0.2176403947477523
150,-1.276372679287895
151,0.30399240515159487
152,0.07910425753981776
153,-0.15212585428681794
154,-0.7393302092026225
155,-0.10442685769939976
156,-0.5919347188182124
157,-0.5039743472386314
158,-0.9982796653506287
159,-0.15247418898965134
160,0.19032291247153632
161,-1.0215730003540433
162,0.5076795623433551
163,-0.7009661759263314
164,0.23626448120361265
165,0.2416916325796659
166,-0.04833920934719548
167,0.5183417409640468
168,-0.12982851231255035
169,0.779240195804229
170,-0.6184455423597953
171,-0.9961050713997386
172,0.8558161916259357
173,0.0725938001769809
174,0.13128946391218493
175,0.16233352340288937
176,-0.529460995425136
177,-0.286572599320489
178,0.531568554331833
179,-0.9536197972596531
180,-0.5546219202358388
181,0.4843942349828826
182,-0.7741634736240581
183,2.119851891847568
184,0.47966435155888776
185,0.12433825452081314
186,-0.4162476085761155
187,0.7028418343946599
188,1.6495344589616387
189,-0.6113537170298117
190,0.5208548985391533
191,-0.4275595522126754
192,-0.7377559324599183
193,0.4977108454040357
194,0.8635323586011211
195,-0.7539590457505504
196,1.3862626424691151
197,-0.8750301619481686
198,-1.0487309921606325
199,-0.582335991943404
200,-0.23108813784459978
201,0.36676294065765275
202,0.7390437026767835
203,0.06848640797755998
204,-0.38570146700191743
205,0.9170143045173759
206,0.9990581790705833
207,0.09396301561843598
208,0.5101748638033232
209,-0.6885386082587494
210,0.733363085555023
211,0.06619315320204085
212,-1.0863503630135924
213,0.1546774031011165
214,0.22549686610529246
215,-0.8174573917193415
216,-1.1829510600666986
217,-0.8055556829287419
218,0.9060113149743247
219,-0.2548995589223047
220,-0.18309472717359274
221,-0.31606861281565524
222,0.17910922189504663
223,0.019285100375366772
224,0.9542979442604932
225,0.2910477142409662
226,1.12672949660583
227,0.06427761210986584
228,-0.29429727870200756
229,0.6970111927623105
230,0.5292860329763603
231,0.09290440453245784
232,-0.6173379336097898
233,0.1201346007121042
234,-0.6320385625534348
