,mosquito
907,-0.40160739390335803
975,-1.0719654774761662
597,-0.9079460315867756
328,2.3263379175803887
425,-0.8675531829722242
263,0.9554291161168248
1014,-0.4628086796829814
685,0.3315840097365303
492,-0.017671327779187233
1029,-0.027871542075791133
596,-0.8753053458376431
690,0.36259266119820616
295,0.3793210126446365
671,-0.30654139665900965
506,0.4800991298950831
1080,-0.11885745360149792
906,-0.4289439682182565
142,2.6988497436923633
1068,0.12227561237021826
8,-1.3065704062980559
14,-1.2453691205184325
565,0.0904509437648141
5,-1.1931440233198207
601,-0.6786452141991199
945,-0.11273732502353558
364,1.2740838107427306
501,1.1431130591743366
933,-0.17149055937197405
861,0.44949848700527134
619,-0.10539317072998076
665,-0.006655096338855022
943,0.10513925235192371
741,-0.5484904797744542
431,-0.5182978454565066
937,-0.00991916491376827
1067,-0.04459989352222153
52,0.5311002013781025
474,0.7330644444508597
458,-0.657836777034048
1009,-0.7320943371133244
452,-0.41507167677487516
489,0.5115157899286231
801,-1.3192186720258448
1138,-0.1004970678676109
642,0.06393038659364396
251,1.0509031219330374
863,0.8056899702426795
406,-0.9108020915898247
571,-0.013183233488681518
969,-0.5966354912544246
1003,-0.6207079969944098
795,-1.1539752004208617
564,0.018233426544858492
1113,0.07372259231838371
751,0.08473882375871591
844,-0.3816149738820144
688,0.30302340970603936
787,-1.350635332059385
1082,-0.06173625354051608
363,-1.3604275377841246
413,-1.031980637433479
186,-0.5709309512269828
457,-0.8332804629356351
869,0.8991239331995713
184,-0.3869190853162484
283,1.9358737143063913
754,-0.304909362371553
494,0.24223013249828013
317,0.6739032015305572
530,0.24875826964810663
674,0.10840332092683697
461,-0.294301139503085
867,0.9027960103463487
1123,-0.1355858050479283
486,0.587405384295356
34,-1.3604275377841246
901,-0.39018315389116165
402,-0.419967779637245
362,-1.3604275377841246
1145,-0.03847976494425919
240,0.22917385819862712
695,0.2614065353758955
568,0.1459401095383393
503,0.9721574675632552
994,-0.9924038059626559
1025,0.26426259537894453
1081,-0.060104219253059456
351,0.07209055803092708
513,0.6751272272461496
587,-0.3134775423807003
49,2.9399828096640794
159,0.6486066700749795
810,-0.9083540401586397
785,-1.3216667234570298
961,-0.3391820824081421
231,-0.47015283397653623
711,-0.4730088939795853
269,0.8489388788602801
75,0.43970628128053163
1028,-0.0290955677913836
922,-0.2787968137722471
944,0.2165255924708383
967,-1.0091321574090863
951,-0.4289439682182565
713,-0.822672240067167
926,-0.3032773280840964
477,1.0313187104835577
108,0.4307300926995202
161,-1.3604275377841246
18,-1.0487089888799095
338,-0.041743833519172435
356,1.1141444505719815
192,-0.7080218313733392
481,1.162289462051952
333,0.30302340970603936
198,-0.4065034967657279
27,-0.13721783933538492
342,-0.5778670969486734
1111,-0.16496242222214755
1116,0.15042820382884503
1127,0.24957428679183494
649,0.5327322356655592
1119,-0.2677805823319149
124,1.005614170456116
187,-0.7622869714312719
1072,0.0839228066149876
691,0.3654487212012552
298,0.4890753184760945
879,0.8930038046216089
141,0.5482365613963971
386,-0.28654897663766604
1147,-0.7455586199848415
70,0.5490525785401255
766,-1.0536050917422792
826,-0.5554266254961449
10,-1.126638626105963
500,0.8803555388938201
632,-0.0735685021245766
678,-0.22983578514854835
367,2.693137623686265
31,-0.21025137369906885
64,0.053730172297040066
471,0.25895848394471055
629,-0.2849169423502094
270,0.8766834617470427
505,0.2099974553210118
853,-0.19189098796518184
808,-0.8965217915745792
466,-0.025423490644606198
1108,-0.22575569942990678
1,-1.3008582862919578
737,-0.6876214027801314
567,0.3536164726171947
1101,-0.09641698214896934
202,-0.48198508256059674
923,-0.20372323654924235
233,-0.39099917103488996
1092,-0.5231939483188764
432,-0.595003456966968
892,0.08881890947735747
1039,0.057810258015681626
775,-1.1829438090232167
58,0.6212700957600811
813,-0.8834655172749263
916,-0.3383660652644138
576,-0.021751413497828793
993,-0.9156981944521946
747,-0.09070486214287116
1022,-0.09315291357405608
574,-0.40487146247827127
831,-0.6570207598903196
970,-0.7186300542418073
85,1.5552017167571341
528,0.13206781809495802
557,0.19449312959017387
932,-0.17720267937807221
759,-0.6937415313580937
533,0.2091814381772835
60,-0.012367216344953205
224,-0.49422533971652144
440,-0.4970813997195705
561,0.0969790809146406
985,-1.251897257668259
308,1.9758585543490788
487,0.6363664129190548
1027,0.11697150093598424
621,-0.5590987026429223
82,0.5694530071333332
247,0.7918176787992982
204,-0.8659211486847675
319,0.8868836760436466
1086,-0.39018315389116165
443,-0.592555405535783
302,1.1643295049112727
1128,0.08555484090244422
838,-0.6023476112605227
55,0.8224183216891099
1156,-1.065845348898204
986,-1.18131177473576
828,-0.660692837037097
1031,0.12717171523258813
485,0.8791315131782276
249,1.4748240280998954
893,0.336072104027036
615,-0.3722307767291388
311,1.6984127254814527
359,0.8558750245819707
467,0.15491629811935076
103,0.6816553643959761
399,-0.18617886795908364
267,0.31730370972128485
581,0.17817278671560763
15,-1.1939600404635489
529,0.011705289395031997
1030,-0.10090507643947505
974,-1.0038280459748523
1167,-1.1417349432649369
796,-1.1143983689500385
483,1.0072462047435726
682,0.1406359981041053
686,0.3662647383449835
1050,-0.4052794710501354
652,0.6563588329403984
465,-0.1421139421977548
873,0.6025017014543299
693,0.20142927531186453
268,0.12145959522648996
918,-0.2673725737600507
681,0.21856563533015907
833,-0.5546106083524165
45,5.204022374938281
1046,-0.17026653365638156
592,-0.49014525399787984
1036,-0.1376258479072491
609,-0.6598768198933688
