"시도별(1)",시도별(2),2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05
"서울",서울,0.011,0.016,0.022,0.028,0.033,0.038,0.027,0.029,0.025,0.019,0.012,0.009,0.014,0.018,0.025,0.031,0.039,0.037,0.025,0.030,0.027,0.018,0.014,0.009,0.035,0.018,0.038,0.035,0.039,0.041,0.030,0.024,0.027,0.020,0.014,0.011,0.014,0.018,0.026,0.031,0.034,0.035,0.024,0.030,0.027,0.018,0.011,0.012,0.012,0.018,0.028,0.029,0.043,0.039,0.031,0.030,0.024,0.021,0.013,0.011,0.014,0.018,0.027,0.036,0.034
"부산",부산,0.020,0.026,0.032,0.036,0.038,0.036,0.028,0.033,0.031,0.028,0.020,0.018,0.022,0.027,0.031,0.038,0.045,0.036,0.025,0.036,0.030,0.025,0.020,0.018,0.024,0.031,0.022,0.042,0.044,0.041,0.028,0.027,0.033,0.030,0.023,0.020,0.021,0.027,0.034,0.039,0.039,0.038,0.026,0.025,0.031,0.028,0.020,0.019,0.023,0.029,0.039,0.037,0.048,0.038,0.028,0.030,0.028,0.029,0.023,0.018,0.023,0.027,0.034,0.044,0.041
"인천",인천,0.015,0.020,0.024,0.029,0.036,0.039,0.029,0.031,0.028,0.024,0.014,0.012,0.017,0.021,0.026,0.031,0.041,0.037,0.025,0.029,0.029,0.020,0.017,0.013,0.027,0.023,0.030,0.035,0.038,0.037,0.028,0.025,0.030,0.024,0.017,0.014,0.017,0.022,0.027,0.032,0.034,0.034,0.021,0.031,0.029,0.022,0.016,0.016,0.017,0.023,0.033,0.033,0.046,0.041,0.032,0.037,0.026,0.024,0.017,0.015,0.020,0.023,0.032,0.041,0.039
