"소재지(시군구)별(1)",2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
"소재지(시군구)별(1)",계,계,계,계,계,계,계,계,계,계
"소재지(시군구)별(1)",시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"서울특별시",1028,4981877,1039,5013617,1040,5041145,1023,5034732,1017,5028167
"부산광역시",881,11517117,943,10336182,960,10162362,958,9903671,980,9436838
"인천광역시",1304,10600844,1286,10784366,1271,9466026,1275,9756545,1277,9752122
