date,actual,LGBM,GBR,RFR
2015-10-25,-0.481985083,-0.313289622,-0.355700375,-0.532311615
2019-08-27,-0.203723237,-0.03642853,0.152232682,0.258860634
2016-05-12,-0.390999171,-0.350222146,-0.355700375,-0.635746973
2020-08-12,-0.523193948,-0.10963277,0.190321226,0.343793991
2017-05-13,-0.595003457,-0.362878942,-0.355700375,-0.545756436
2019-07-27,0.088818909,-0.191223265,0.010756679,0.152684211
2020-06-20,0.057810258,0.427845219,0.422472898,0.475358579
2018-10-18,-1.182943809,-0.707831421,-0.629345804,-0.961590498
2015-06-03,0.621270096,0.582226972,0.422472898,0.632183278
2019-05-09,-0.883465517,-0.620881864,-0.520140944,-0.829977371
2019-08-20,-0.338366065,0.152483625,0.152232682,0.258860634
2017-10-04,-0.021751413,-0.033049701,-0.151114581,-0.194253892
2020-05-05,-0.915698194,-0.172739597,-0.151114581,-0.194253892
2018-09-20,-0.090704862,0.252717118,0.152232682,0.247797471
2020-06-03,-0.093152914,-0.172739597,-0.151114581,-0.141222497
2017-10-02,-0.404871462,0.236286674,0.134099184,0.47693788
2019-05-27,-0.65702076,-0.051239961,0.134099184,0.306802792
2019-10-13,-0.718630054,-0.572224866,-0.520140944,-0.846164847
2015-06-30,1.555201717,0.238888126,0.331797229,0.449970414
2017-08-17,0.132067818,0.170188415,0.190321226,0.343793991
2017-09-15,0.19449313,0.239214985,0.331797229,0.42840165
2019-09-05,-0.177202679,0.369170947,0.190321226,0.343793991
2018-10-02,-0.693741531,-0.176072156,-0.189783624,-0.29763384
2017-08-22,0.209181438,-0.043804021,0.190321226,0.343793991
2015-06-05,-0.012367216,0.316956808,0.422472898,0.610863134
2016-05-03,-0.49422534,-0.541769334,-0.473844281,-0.784472442
2017-05-21,-0.4970814,-0.500257183,-0.151114581,-0.194253892
2017-09-19,0.096979081,0.26153262,0.331797229,0.449970414
2019-10-28,-1.251897258,-0.539780208,-0.567270474,-0.881529003
2016-07-26,1.975858554,1.166187876,0.422472898,0.475358579
2017-07-07,0.636366413,0.135738502,0.190321226,0.343793991
2020-06-08,0.116971501,0.210568979,0.422472898,0.475358579
2018-05-17,-0.559098703,-0.216041814,-0.189783624,-0.246863648
2015-06-27,0.569453007,0.271851601,0.331797229,0.449970414
2016-05-26,0.791817679,0.505346656,0.237014939,0.500406796
2015-10-27,-0.865921149,-0.476293702,-0.520140944,-0.846164847
2016-08-06,0.886883676,0.402224569,0.242908351,0.284248799
2020-08-06,-0.390183154,-0.140844197,0.190321226,0.343793991
2017-05-24,-0.592555406,-0.136975977,0.134099184,0.306058794
2016-07-20,1.164329505,0.42496063,0.190321226,0.376285259
2020-09-17,0.085554841,0.557962627,0.331797229,0.406508612
2019-06-03,-0.602347611,-0.500257183,-0.151114581,-0.175028299
2015-05-31,0.822418322,0.599242854,0.422472898,0.621120115
2020-10-15,-1.065845349,-0.517252469,-0.567270474,-0.881529003
2019-10-29,-1.181311775,-0.717201553,-0.629345804,-0.961590498
2019-05-24,-0.660692837,-0.262535971,-0.151114581,-0.175028299
2020-06-12,0.127171715,0.168249638,0.331797229,0.475358579
2017-07-05,0.879131513,0.161964697,0.190321226,0.343793991
2016-05-28,1.474824028,0.234617061,0.134099184,0.271515054
2019-07-28,0.336072104,-0.211054027,0.010756679,0.152684211
2018-05-11,-0.372230777,-0.39747973,-0.520140944,-0.796223484
2016-07-29,1.698412725,0.434637709,0.190321226,0.343793991
2016-09-15,0.855875025,0.493198156,0.242908351,0.284248799
2017-06-17,0.154916298,0.344848695,0.422472898,0.475358579
2015-07-18,0.681655364,0.519937629,0.237014939,0.419084812
2016-10-25,-0.186178868,-0.476293702,-0.520140944,-0.829977371
2016-06-15,0.31730371,0.649543556,0.331797229,0.449970414
2017-10-09,0.178172787,-0.014953548,-0.189783624,-0.215977304
2015-04-21,-1.19396004,-0.760655191,-0.629345804,-0.961590498
2017-08-18,0.011705289,0.170188415,0.190321226,0.343793991
2020-06-11,-0.100905076,0.382409133,0.331797229,0.475358579
2019-10-17,-1.003828046,-0.519895189,-0.520140944,-0.846164847
2020-10-26,-1.141734943,-0.77436621,-0.629345804,-0.961590498
2019-04-22,-1.114398369,-0.449192094,-0.567270474,-0.881529003
2017-07-03,1.007246205,0.251224476,0.190321226,0.343793991
2018-07-17,0.140635998,0.043922766,0.242908351,0.284248799
2018-07-21,0.366264738,0.029169257,0.242908351,0.284248799
2020-07-01,-0.405279471,-0.02412676,0.190321226,0.343793991
2018-06-17,0.656358833,0.011110245,0.010756679,0.141713677
2017-06-15,-0.142113942,-0.114998445,0.422472898,0.464295416
2019-07-08,0.602501701,0.700513183,0.422472898,0.540457784
2018-07-28,0.201429275,0.2456833,0.152232682,0.258860634
2016-06-16,0.121459595,0.702293296,0.331797229,0.449970414
2019-08-22,-0.267372574,0.480082723,0.242908351,0.284248799
2018-07-16,0.218565635,-0.041405948,0.152232682,0.258860634
2019-05-29,-0.554610608,0.328911892,0.229047215,0.496275882
2015-05-21,5.204022375,0.234826128,-0.355700375,-0.532311615
2020-06-27,-0.170266534,0.252087542,0.190321226,0.355117745
2017-10-20,-0.490145254,-0.501346229,-0.520140944,-0.846164847
2020-06-17,-0.137625848,0.476185819,0.422472898,0.475358579
2018-05-05,-0.65987682,-0.493672037,-0.520140944,-0.829977371
