mosquito,temp,rain_per_day,cum_rain,wind,humidity,steam_pressure,sunshine_time,sunshine
0.123633751,0.717391304,0.051903114,0.090909091,0.4375,0.489071038,0.501694915,0.306569343,0.379901153
0.124957452,0.686335404,0.003460208,0.181818182,0.59375,0.536885246,0.498305085,0.868613139,0.741350906
0.13066828,0.720496894,0.003460208,0.272727273,0.5,0.520491803,0.552542373,0.620437956,0.553212521
0.140728414,0.661490683,0.107266436,0.363636364,0.421875,0.635245902,0.549152542,0.620437956,0.643163097
0.13010098,0.704968944,0,0,0.34375,0.571038251,0.559322034,0.671532847,0.613509061
0.131084301,0.729813665,0,0,0.375,0.575136612,0.593220339,0.715328467,0.694563427
0.119549185,0.680124224,0.065743945,0.090909091,0.40625,0.669398907,0.6,0.518248175,0.505436573
0.140425854,0.723602484,0.020761246,0.181818182,0.421875,0.486338798,0.505084746,0.649635036,0.665897858
0.128550357,0.714285714,0,0,0.453125,0.464480874,0.494915254,0.671532847,0.621746293
0.157785258,0.562111801,0.307958478,0.090909091,0.28125,0.918032787,0.603389831,0,0.10708402
0.207026966,0.649068323,0,0,0.3125,0.618852459,0.508474576,0.934306569,0.764744646
0.176997844,0.698757764,0,0,0.375,0.5,0.498305085,0.824817518,0.72092257
0.17393442,0.720496894,0,0,0.359375,0.550546448,0.559322034,0.854014599,0.684019769
0.176317083,0.751552795,0,0,0.390625,0.471311475,0.545762712,0.627737226,0.593739703
0.167202451,0.723602484,0.01384083,0.090909091,0.328125,0.56420765,0.583050847,0.175182482,0.393080725
0.135282327,0.605590062,0.08650519,0.181818182,0.515625,0.710382514,0.528813559,0.02189781,0.341680395
0.16686207,0.736024845,0,0,0.34375,0.430327869,0.484745763,0.919708029,0.862273476
0.114935139,0.742236025,0,0,0.40625,0.519125683,0.572881356,0.948905109,0.768369028
0.170076775,0.751552795,0,0,0.4375,0.519125683,0.576271186,0.832116788,0.741350906
0.255171892,0.711180124,0.017301038,0.090909091,0.265625,0.631147541,0.616949153,0.204379562,0.279736409
0.178208086,0.689440994,0.003460208,0.181818182,0.59375,0.580601093,0.545762712,0.854014599,0.758813839
0.155213494,0.689440994,0,0,0.625,0.556010929,0.515254237,0.810218978,0.679736409
0.198290534,0.677018634,0,0,0.46875,0.530054645,0.488135593,0.810218978,0.740691928
0.178888847,0.701863354,0,0,0.34375,0.43715847,0.450847458,0.795620438,0.687314662
0.199916796,0.704968944,0,0,0.359375,0.459016393,0.477966102,0.708029197,0.600658979
0.268824931,0.739130435,0,0,0.34375,0.416666667,0.474576271,0.722627737,0.673476112
0.270262093,0.748447205,0,0,0.3125,0.386612022,0.474576271,0.401459854,0.487644152
0.329034454,0.680124224,0.003460208,0.090909091,0.625,0.628415301,0.579661017,0.094890511,0.408896211
0.360046897,0.776397516,0,0,0.453125,0.512295082,0.616949153,0.328467153,0.464579901
0.440943989,0.860248447,0,0,0.296875,0.506830601,0.711864407,0.635036496,0.591433278
0.311221209,0.897515528,0,0,0.328125,0.49863388,0.769491525,0.722627737,0.592751236
0.270413373,0.723602484,0.200692042,0.090909091,0.625,0.960382514,0.898305085,0,0.159472817
0.32574411,0.670807453,0.069204152,0.181818182,0.8125,0.915300546,0.769491525,0.00729927,0.115980231
0.307893045,0.763975155,0,0,0.546875,0.663934426,0.718644068,0.737226277,0.673805601
0.239590031,0.819875776,0,0,0.453125,0.478142077,0.627118644,0.832116788,0.643492586
0.265648047,0.720496894,0,0,0.78125,0.37568306,0.440677966,0.817518248,0.691598023
0.273817178,0.686335404,0,0,0.5625,0.355191257,0.389830508,0.591240876,0.614497529
0.239703491,0.708074534,0.003460208,0.090909091,0.34375,0.542349727,0.559322034,0.080291971,0.294233937
0.220037064,0.732919255,0.034602076,0.181818182,0.28125,0.732240437,0.722033898,0.248175182,0.418121911
0.237434288,0.807453416,0,0,0.375,0.650273224,0.789830508,0.124087591,0.345304778
0.24601944,0.791925466,0.076124567,0.090909091,0.25,0.789617486,0.877966102,0.02189781,0.248105437
0.23206384,0.813664596,0.006920415,0.181818182,0.28125,0.725409836,0.86779661,0.160583942,0.284349259
0.165651829,0.788819876,0.110726644,0.272727273,0.328125,0.781420765,0.86440678,0.167883212,0.281713344
0.158844219,0.720496894,0.183391003,0.363636364,0.3125,0.99863388,0.918644068,0,0.124876442
0.189289361,0.729813665,0.553633218,0.454545455,0.5,0.974043716,0.918644068,0,0.063591433
0.197609773,0.760869565,0.280276817,0.545454545,0.40625,0.842896175,0.86440678,0.313868613,0.46490939
0,0.767080745,0.010380623,0.636363636,0.359375,0.849726776,0.884745763,0.262773723,0.310708402
0.21757876,0.813664596,0,0,0.421875,0.691256831,0.823728814,0.525547445,0.52553542
0.205211603,0.782608696,0.027681661,0.090909091,0.40625,0.807377049,0.881355932,0.01459854,0.180889621
0.166030029,0.841614907,0,0,0.546875,0.718579235,0.901694915,0.576642336,0.498187809
0.24617072,0.819875776,0,0,0.421875,0.68989071,0.844067797,0.489051095,0.491927512
0.201959079,0.829192547,0,0,0.484375,0.669398907,0.837288136,0.386861314,0.37660626
0.191558564,0.776397516,0.114186851,0.090909091,0.421875,0.826502732,0.884745763,0.102189781,0.253377265
