date,actual,LGBM,GBR,RFR
2019-08-11,-0.393778312,0.164909644,0.140399632,0.243242149
2019-10-18,-1.040337754,-0.491593912,-0.553560197,-0.822553446
2017-10-25,-0.882141225,-0.503925395,-0.553560197,-0.822553446
2016-08-15,2.237321158,1.083737505,0.401045958,0.452054127
2017-05-06,-0.843182379,-0.488932596,-0.152178396,-0.193786203
2016-06-11,0.91508152,0.651739314,0.401045958,0.452054127
2020-05-26,-0.452806867,-0.379799959,-0.463450759,-0.718122315
2018-07-20,0.31338378,-0.007701851,0.227856193,0.267729
2017-07-12,-0.023472508,0.149508845,0.177135982,0.325160258
2020-06-10,-0.033310601,0.582400752,0.313589397,0.452054127
2017-10-24,-0.850659329,-0.494558558,-0.508103829,-0.822553446
2018-07-25,0.343291582,-0.038663988,0.227856193,0.267729
2016-07-13,0.359426054,0.788664657,0.274986424,0.321042468
2018-07-06,-0.302087289,-0.247151352,0.003946217,0.140835132
2017-07-26,0.456626408,0.418559454,0.177135982,0.325160258
2020-07-31,-0.121066386,-0.083312228,0.177135982,0.325160258
2019-08-10,-0.4201444,0.045934341,0.140399632,0.243242149
2015-08-26,2.596608298,0.65790633,0.313589397,0.427567276
2020-07-19,0.111506121,-0.061555641,0.177135982,0.325160258
2015-04-14,-1.266613882,-0.760475905,-0.61343177,-0.933881331
2015-04-20,-1.207585327,-0.753303755,-0.61343177,-0.933881331
2017-09-23,0.080811273,-0.114887189,0.122909898,0.26427786
2015-04-11,-1.157214293,-0.760475905,-0.61343177,-0.933881331
2017-10-29,-0.660980905,-0.505317906,-0.61343177,-0.919372991
2019-09-18,-0.115163531,0.270724126,0.401045958,0.452054127
2016-09-20,1.222423531,0.398565709,0.313589397,0.452054127
2017-07-21,1.096102423,0.243079003,0.177135982,0.325160258
2019-09-06,-0.171830944,0.349636303,0.177135982,0.325160258
2019-06-26,0.42711213,-0.206512748,0.227856193,0.267729
2018-05-15,-0.108080104,-0.35880184,-0.508103829,-0.806940647
2018-06-30,-0.012847368,-0.180999635,0.003946217,0.140835132
2019-09-16,0.094978126,0.393884221,0.177135982,0.325160258
2018-09-14,-0.535446844,-0.1510814,0.227856193,0.267729
2017-05-12,-0.50632609,-0.392387607,-0.34950112,-0.619605688
2019-09-10,-0.015995558,-0.142272621,0.177135982,0.325160258
2020-07-18,-0.049445073,0.125943346,0.177135982,0.325160258
