"시도별(1)",시도별(2),2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05
"서울",서울,0.037,0.036,0.040,0.033,0.032,0.025,0.021,0.023,0.027,0.035,0.034,0.039,0.035,0.034,0.038,0.036,0.031,0.028,0.024,0.023,0.026,0.029,0.035,0.036,0.035,0.035,0.038,0.031,0.028,0.024,0.023,0.021,0.027,0.027,0.033,0.034,0.035,0.034,0.033,0.031,0.025,0.024,0.019,0.017,0.019,0.028,0.039,0.035,0.039,0.036,0.034,0.029,0.028,0.020,0.018,0.018,0.021,0.025,0.034,0.035,0.034,0.032,0.027,0.021,0.020
"부산",부산,0.022,0.020,0.021,0.019,0.025,0.019,0.016,0.018,0.015,0.021,0.023,0.025,0.024,0.023,0.026,0.024,0.023,0.019,0.017,0.015,0.016,0.018,0.024,0.026,0.024,0.021,0.022,0.021,0.021,0.018,0.017,0.013,0.017,0.016,0.025,0.023,0.022,0.022,0.021,0.019,0.018,0.019,0.016,0.012,0.014,0.019,0.027,0.023,0.024,0.022,0.020,0.019,0.021,0.016,0.015,0.014,0.015,0.017,0.023,0.026,0.021,0.020,0.016,0.014,0.014
"인천",인천,0.030,0.029,0.033,0.030,0.026,0.022,0.018,0.017,0.022,0.026,0.028,0.033,0.026,0.026,0.031,0.031,0.025,0.021,0.018,0.017,0.022,0.025,0.027,0.028,0.027,0.026,0.030,0.025,0.022,0.018,0.018,0.019,0.022,0.022,0.026,0.031,0.029,0.027,0.029,0.027,0.023,0.022,0.017,0.016,0.019,0.026,0.035,0.030,0.032,0.029,0.028,0.026,0.023,0.017,0.015,0.015,0.021,0.023,0.031,0.031,0.028,0.027,0.023,0.017,0.017
